o~.41ourna, PUNCT 
°, NUM 
2, NUM 
bath, NOUN 

, SPACE 
change, NOUN 
relative, ADJ 
amounts, NOUN 
VI, PROPN 
Xll, PROPN 

, SPACE 
Photolysis, PROPN 
VI, PROPN 
neat, ADJ 
CCI, PROPN 
4, NUM 
resulted, VERB 
precipi-, ADJ 

, SPACE 
tation, NOUN 
Ru(CO)2CI]2['qs,~S, PROPN 
CsH,,(CH3)zSi, NOUN 
CsH4I, PROPN 

, SPACE 
tan, PROPN 
solid, ADJ 
IR, PROPN 
CH2CI, PROPN 
2, NUM 
2055, NUM 
2005, NUM 
cm, NOUN 
-t, PUNCT 
H, NOUN 
NMR, PROPN 

, SPACE 
CDCI0, PROPN 
5,60, NUM 
5,44, NUM 
~, NOUN 
B, NOUN 
2, NUM 
triplets, NOUN 
8H, PROPN 
Cp, PROPN 
0.63, NUM 
s, PROPN 

, SPACE 
6H, NOUN 
Mefli, PROPN 
Jst-, PROPN 
-6.8, PROPN 
Hz, PROPN 
t, X 
~, PUNCT 
C, PROPN 
NMR, PROPN 
CDCI,0, PROPN 
195.6, NUM 

, SPACE 
Ru, PROPN 
CO, PROPN 
99.4, NUM 
Cp, PROPN 
88.4, NUM 
ipso, PROPN 
Cp, PROPN 
85.3, NUM 
Cp, PROPN 
0.16, NUM 

, SPACE 
MezSi, PROPN 

, SPACE 
Removal, PROPN 
solvent, NOUN 
photolysis, NOUN 
mixture, NOUN 

, SPACE 
yielded, VERB 
yellow, ADJ 
oil, NOUN 
ehromatographed, VERB 

, SPACE 
alumina, PROPN 
Xl, PROPN 
yellow, ADJ 
oil, NOUN 
formed, VERB 

, SPACE 
waxy, NOUN 
yellow, ADJ 
solid, ADJ 
placed, VERB 
vacuum, NOUN 

, SPACE 
overnight, ADV 
p, PROPN 
156, NUM 
157, NUM 
°, NUM 
C, PROPN 
IR, PROPN 
CH, NOUN 
~, NOUN 
CI, PROPN 
z, PROPN 
2046, NUM 
2035, NUM 

, SPACE 
1984, NUM 
cm, NOUN 
=, NOUN 
t, PROPN 
H, PROPN 
NMR, PROPN 
CDCI~, NOUN 
5,80, NUM 
m, PROPN 
2H, PROPN 
w.~5, PROPN 
Cp, PROPN 

, SPACE 
5,55, NUM 
m., NOUN 
IH, PROPN 
~/5, PROPN 
Cp, PROPN 
5.42, NUM 
m, PROPN 
IH, PROPN 
~LCp, PROPN 
5,15, NUM 

, SPACE 
m, PROPN 
IH, PROPN 
H-8, NOUN 
H-10, PROPN 
~:T/*-Cp, PROPN 
5,12, NUM 
m, PROPN 
IH, PROPN 
H-9, PROPN 
~s, PROPN 
v, X 
Cp, PROPN 
5.09, NUM 
m, PROPN 
IH, PROPN 
H-8, NOUN 
H-10, PROPN 
~5, NOUN 
v, X 
Cp, PROPN 
0.63, NUM 

, SPACE 
s, PROPN 
3H, PROPN 
Si, PROPN 
J, PROPN 
si-,--7.1, PROPN 
Hz, PROPN 
0.47, NUM 
s, PROPN 
3H, PROPN 
Si, PROPN 

, SPACE 
Jsi, PROPN 
u, PROPN 
=, NOUN 
6.9, NUM 
Hz, PROPN 
13C, NUM 
NMR, NOUN 
CDCI, PROPN 
3, NUM 
198.6, NUM 
Ru, PROPN 
CO, PROPN 

, SPACE 
197.7, NUM 
Ru, PROPN 
CO, PROPN 
197.5, NUM 
2C, PROPN 
Ru, PROPN 
CO, PROPN 
137.9, NUM 
ipso, PROPN 
Cp, PROPN 

, SPACE 
113.3, NUM 
ipso, PROPN 
Cp, PROPN 
108.6, NUM 
ipso, PROPN 
Cp, PROPN 
94.8, NUM 
v/5, PROPN 
Cp, PROPN 
92.6, NUM 

, SPACE 
C-8, PROPN 
C-10, PROPN 
~5, NOUN 
v, NOUN 
LCp, PROPN 
91.9, NUM 
C-8, NOUN 
C-10, PROPN 
v/5, PROPN 
v, PUNCT 
LCp, PROPN 

, SPACE 
90.9, NUM 
vlS, NOUN 
Cp, PROPN 
88.7, NUM 
~vlS, PROPN 
Cp, PROPN 
88.6, NUM 
fl-~75, PROPN 
Cp, PROPN 
82.3, NUM 

, SPACE 
C-9, NOUN 
~5:~TLCp, PROPN 
0.13, NUM 
Si, PROPN 
-2.13, NUM 
Si, PROPN 

, SPACE 
XI, PROPN 
prepared, VERB 
quantitative, ADJ 
yield, NOUN 
photol-, NOUN 

, SPACE 
ysis, NOUN 
VI, PROPN 
4:1, NUM 
benzene, NOUN 
chloroform, NOUN 
followed, VERB 

, SPACE 
workup, NOUN 
described, VERB 

, SPACE 
5.6, X 
Crystal, NOUN 
structure, NOUN 
determination, NOUN 

, SPACE 
summary, NOUN 
crystallographic, ADJ 
data, NOUN 
given, VERB 
Table, PROPN 

, SPACE 
I., NOUN 
crystal, NOUN 
VIII, PROPN 
mounted, VERB 
epoxy, NOUN 
cement, NOUN 

, SPACE 
glass, NOUN 
fibers, NOUN 
Unit, NOUN 
cell, NOUN 
parameters, NOUN 
obtained, VERB 

, SPACE 
squares, NOUN 
refinement, NOUN 
angular, ADJ 
settings, NOUN 
24, NUM 

, SPACE 
reflections, NOUN 
20, NUM 
°, NUM 
~, PUNCT 
20, NUM 
<, X 
25, NUM 
°, NUM 
Photographic, ADJ 
evidence, NOUN 
de-, X 

, SPACE 
termined, VERB 
crystal, NOUN 
belonged, VERB 
monoclinic, ADJ 

, SPACE 
system, NOUN 
Systematic, ADJ 
absences, NOUN 
diffraction, NOUN 
data, NOUN 
indi-, NOUN 

, SPACE 
cated, VERB 
C, NOUN 
centered, VERB 
space, NOUN 
groups, NOUN 
C2, PROPN 
c, PROPN 

, SPACE 
Cc, PROPN 
noncentrosymmetric, ADJ 
alternative, NOUN 
Cc, PROPN 

, SPACE 
suggested, VERB 
E, NOUN 
statistics, NOUN 
e.g., ADV 
E, NOUN 
2, NUM 
=, NOUN 
0.74, NUM 

, SPACE 
confirmed, VERB 
results, NOUN 
refinement, NOUN 
resulting, VERB 

, SPACE 
independent, ADJ 
molecules, NOUN 
VIII, PROPN 
nearly, ADV 
identical, ADJ 

, SPACE 
structure, NOUN 
solved, VERB 
direct, ADJ 
methods, NOUN 

, SPACE 
completed, VERB 
subsequent, ADJ 
difference, NOUN 
Fourier, ADJ 
synthesis, NOUN 

, SPACE 
non, ADJ 
hydrogen, ADJ 
atoms, NOUN 
anisotropically, ADV 
refined, VERB 

, SPACE 
hydrogen, NOUN 
atoms, NOUN 
treated, VERB 
idealized, VERB 

, SPACE 
updated, VERB 
isotropic, ADJ 
contributions, NOUN 
dCH--0.96, PROPN 
~, PUNCT 

, SPACE 
SHELXTL, PROPN 
5.1, NUM 
software, NOUN 
calculations, NOUN 

, SPACE 
13, NUM 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
J.E.S., PROPN 
acknowledges, VERB 
Naval, PROPN 
Academy, PROPN 
Research, PROPN 

, SPACE 
Council, PROPN 
support, NOUN 
T.E.B., PROPN 
thanks, NOUN 
Johnson, PROPN 
Matthey, PROPN 

, SPACE 
Inc., PROPN 
kind, NOUN 
loan, NOUN 
ruthenium, NOUN 
CAMAG, PROPN 

, SPACE 
Scientific, PROPN 
Inc., PROPN 
generous, ADJ 
gift, NOUN 
alumina, PROPN 
J.A.H., PROPN 

, SPACE 
thanks, NOUN 
Science, PROPN 
Engineering, PROPN 
Apprenticeship, PROPN 
Pro-, PROPN 

, SPACE 
gram, NOUN 
sponsored, VERB 
U, PROPN 
S, PROPN 
Department, PROPN 
Defense, PROPN 

, SPACE 
Summer, PROPN 
Student, PROPN 
Apprenticeship, PROPN 

, SPACE 
References, NOUN 

, SPACE 
H, PROPN 
B, PROPN 
Abrahamson, PROPN 
M, PROPN 
C, PROPN 
Palazzotto, PROPN 
C, PROPN 
L, PROPN 
Reichel, PROPN 
M.S, PROPN 

, SPACE 
Wrighton, PROPN 
J, PROPN 
Chem, PROPN 
Jc, PROPN 
I01, PROPN 
1979, NUM 
4123, NUM 

, SPACE 
2, X 
A., NOUN 
Eisenstadt, PROPN 
R., PROPN 
Tannenbanm, PROPN 
Efraty, PROPN 
J., PROPN 
Orxanomet, PROPN 

, SPACE 
Chem, PROPN 
221, NUM 
1981, NUM 
317, NUM 

, SPACE 
3, X 
P, NOUN 
E., PROPN 
Bloyce, PROPN 
A.K, PROPN 
Campen, PROPN 
R.H., PROPN 
Hooker, PROPN 
A.J., PROPN 
Rest, PROPN 
N.R., PROPN 

, SPACE 
Thomas, PROPN 
I.E., PROPN 
Bitterwolf, PROPN 
J.E., PROPN 
Shade, PROPN 
J., PROPN 
Chem, PROPN 
Soc, PROPN 
Dalton, PROPN 

, SPACE 
Tram, PROPN 
1990, NUM 
2833, NUM 

, SPACE 
4, NUM 
B, NOUN 
D, PROPN 
Moore, PROPN 
M, PROPN 
B., PROPN 
Simpson, PROPN 
M, PROPN 
Poiiakoff, PROPN 
JJ, PROPN 
Turner, PROPN 
J., PROPN 

, SPACE 
Chem, PROPN 
Soc, PROPN 
Chem, PROPN 
Commun, PROPN 
1984, NUM 
972, NUM 
b, X 
R.H., PROPN 
Hooker, PROPN 

, SPACE 
K, PROPN 
Mahmoud, PROPN 
AJ, PROPN 
Rest, PROPN 
J., PROPN 
Chem, PROPN 
Soc, PROPN 
Dalton, PROPN 
Trans, PROPN 


, SPACE 
T, PROPN 
E, PROPN 
Bitterwolf, PROPN 
et, PROPN 
al, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
1996, NUM 
13, NUM 
21, NUM 
21, NUM 

, SPACE 
1983, NUM 
1022, NUM 
c, X 
R.H., PROPN 
Hooker, PROPN 
AJ, PROPN 
Rest, PROPN 
J., PROPN 
Chem, PROPN 
Sac, PROPN 

, SPACE 
Dalton, PROPN 
Trans, PROPN 
1990, NUM 
1221, NUM 
d, X 
A.F., PROPN 
Hepp, PROPN 
J.P, PROPN 
Blaha, PROPN 
C., PROPN 
Lewis, PROPN 

, SPACE 
M.S., PROPN 
Wrighton, PROPN 
Organometullics, PROPN 
3, NUM 
1984, NUM 
174, NUM 

, SPACE 
5, X 
J.P., PROPN 
Blaha, PROPN 
B.E., PROPN 
Bursten, PROPN 
J.C., PROPN 
Dewan, PROPN 
R.B., PROPN 
Frankel, PROPN 
C.L., PROPN 

, SPACE 
Rudolph, PROPN 
B.A., PROPN 
Wilson, PROPN 
M.S., PROPN 
Wrighton, PROPN 
J., PROPN 
Chem, PROPN 
Sac, PROPN 

, SPACE 
107, NUM 
985, NUM 
456, NUM 
I., NOUN 

, SPACE 
6, NUM 
S.A, PROPN 
R., PROPN 
Knox, PROPN 
Pure, PROPN 
AppL, ADP 
Chem, PROPN 
56, NUM 
1984, NUM 
81, NUM 
b, PROPN 
N.D., PROPN 

, SPACE 
Feasey, PROPN 
N.J., PROPN 
Farrow, PROPN 
G., PROPN 
Hogarth, PROPN 
S.A.R., PROPN 
Knox, PROPN 
K.A., PROPN 
Macpher-, PROPN 

, SPACE 
son, NOUN 
M.J., PROPN 
Morris, PROPN 
A.G., PROPN 
Orpin, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
267, NUM 

, SPACE 
1984, NUM 
C41, PROPN 

, SPACE 
7, X 
T.E., PROPN 
Bitterwolf, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
312, NUM 
1986, NUM 
197, NUM 
b, PROPN 

, SPACE 
T.E, PROPN 
Bitterwolf, PROPN 
M.B., PROPN 
Leonard, PROPN 
P, PROPN 
A., NOUN 
Horine, PROPN 
J.E, PROPN 
Shade, PROPN 
A.L., PROPN 

, SPACE 
Rheingold, PROPN 
D, PROPN 
J, PROPN 
Staley, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
press, NOUN 
8, X 
S.A, PROPN 
R, PROPN 
Knox, PROPN 
K.A, PROPN 
Macpherson, PROPN 
A.G, PROPN 
Orpen, PROPN 
M.C., PROPN 
Rendle, PROPN 

, SPACE 
J, PROPN 
Chem, PROPN 
Sac, PROPN 
Dalton, PROPN 
Trans, PROPN 
1989, NUM 
1807, NUM 

, SPACE 
9, X 
T, NOUN 
E., PROPN 
Bitterwolf, PROPN 
J.E., PROPN 
Shade, PROPN 
T.J, PROPN 
Bays, PROPN 
R., PROPN 
Fierro, PROPN 
A.L., PROPN 
Rheim-, PUNCT 

, SPACE 
gold, NOUN 
G.P, PROPN 
A., PROPN 
Yap, PROPN 
preparation, NOUN 

, SPACE 
I0, X 
F, PROPN 
A., NOUN 
Bovey, PROPN 
Nuclear, PROPN 
Magnetic, PROPN 
Resonance, PROPN 
Spectroscopy, PROPN 
Aca-, PROPN 

, SPACE 
demic, ADJ 
New, PROPN 
York, PROPN 
1969, NUM 
p., NOUN 
135, NUM 

, SPACE 
II, PROPN 
H., PROPN 
Sun, PROPN 
S., PROPN 
Xu, PROPN 
X., PROPN 
Zhou, PROPN 
H., PROPN 
Wang, PROPN 
R., PROPN 
Wang, PROPN 
X., PROPN 
Yao, PROPN 
J., PROPN 

, SPACE 
Orgunomet, PROPN 
Chem, NOUN 
444, NUM 
1993, NUM 
C41, PROPN 

, SPACE 
12, NUM 
K.P.C., PROPN 
Vollhardt, PROPN 
T.W., PROPN 
Weidman, PROPN 
J., PROPN 
Chem, PROPN 
Sac, PROPN 
105, NUM 

, SPACE 
1983, NUM 
1676, NUM 

, SPACE 
13, NUM 
G., PROPN 
Sheldrick, PROPN 
Nicolet, PROPN 
XRD, PROPN 
Madison, PROPN 
WI, PROPN 


, SPACE 
