Determining, VERB 
MM, PROPN 
Friesem, PROPN 
AA, PROPN 
Currey, PROPN 
JD, PROPN 
Weiner, PROPN 
S., PROPN 
Anisotropic, PROPN 

, SPACE 
Poisson, PROPN 
ratio, NOUN 
compression, NOUN 
modulus, NOUN 
cortical, ADJ 
bone, NOUN 
determined, VERB 
speckleinterferometry, NOUN 
J, PROPN 
Biomech, PROPN 
2007;40:252, PROPN 
64, NUM 

, SPACE 
34, NUM 
Sharir, PROPN 
Barak, PROPN 
MM, PROPN 
Shahar, PROPN 
R., PROPN 
bone, NOUN 
mechanics, NOUN 
mechanical, ADJ 
testing, NOUN 
Vet, PROPN 

, SPACE 
J, PROPN 
2008;177:8, PROPN 
17, NUM 

, SPACE 
35, NUM 
Shifman, PROPN 
S, PROPN 
Bell, PROPN 
JT, PROPN 
Copley, PROPN 
RR, PROPN 
Taylor, PROPN 
MS, PROPN 
Williams, PROPN 
RW, PROPN 
Mott, PROPN 
R, PROPN 
et, PROPN 
al, PROPN 
High-, PROPN 

, SPACE 
resolution, NOUN 
single, ADJ 
nucleotide, NOUN 
polymorphism, NOUN 
genetic, ADJ 
map, NOUN 
mouse, NOUN 
genome, NOUN 

, SPACE 
PLoS, PROPN 
Biol, PROPN 
2006;4, PROPN 
e395.89, NUM 
N.L.-T., PROPN 
Chattah, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
36, NUM 
Silva, PROPN 
MJ, PROPN 
Brodt, PROPN 
MD, PROPN 
Fan, PROPN 
Z, PROPN 
Rho, PROPN 
JY, PROPN 
Nanoindentation, NOUN 
bone, NOUN 
bending, NOUN 

, SPACE 
estimates, NOUN 
material, NOUN 
properties, NOUN 
bones, NOUN 
senescence, NOUN 
accelerated, VERB 
mouse, PROPN 

, SPACE 
SAMP6, PROPN 
J, PROPN 
Biomech, PROPN 
2004;37:1639, PROPN 
46, NUM 

, SPACE 
37, NUM 
Somerville, PROPN 
JM, PROPN 
Aspden, PROPN 
RM, PROPN 
Armour, PROPN 
KE, PROPN 
Armour, PROPN 
KJ, PROPN 
Reid, PROPN 
DM, PROPN 
Growth, NOUN 
C57BL/6, PROPN 

, SPACE 
mice, NOUN 
material, NOUN 
mechanical, ADJ 
properties, NOUN 
cortical, ADJ 
bone, NOUN 
tibia, NOUN 

, SPACE 
Calcif, PROPN 
Tissue, PROPN 
Int, PROPN 
2004;74:469, ADV 
75, NUM 

, SPACE 
38, NUM 
Tang, PROPN 
B, PROPN 
Ngan, PROPN 
AH, PROPN 
Lu, PROPN 
WW, PROPN 
improved, ADJ 
method, NOUN 
measurement, NOUN 
mechanical, ADJ 

, SPACE 
properties, NOUN 
bone, NOUN 
nanoindentation, NOUN 
J, PROPN 
Mater, PROPN 
Sci, PROPN 
Mater, PROPN 
Med, PROPN 
2007;18:1875, PROPN 
81, NUM 

, SPACE 
39, NUM 
Torcasio, PROPN 
van, PROPN 
Oosterwyck, PROPN 
H, PROPN 
van, PROPN 
Lenthe, PROPN 
GH, PROPN 
systematic, ADJ 
errors, NOUN 
tissue, NOUN 

, SPACE 
modulus, NOUN 
murine, NOUN 
bones, NOUN 
estimated, VERB 
point, NOUN 
bending, NOUN 
J, PROPN 
Biomech2008;41(S1):S14, PROPN 

, SPACE 
40, NUM 
Turner, PROPN 
CH, PROPN 
Burr, PROPN 
DB, PROPN 
Basic, ADJ 
biomechanical, ADJ 
measurements, NOUN 
bone, NOUN 
tutorial, NOUN 
Bone, NOUN 

, SPACE 
1993;14:595, NUM 
608, NUM 

, SPACE 
41, NUM 
van, PROPN 
Lenthe, PROPN 
GH, PROPN 
Voide, PROPN 
R, PROPN 
Boyd, PROPN 
SK, PROPN 
Muller, PROPN 
R., PROPN 
Tissue, PROPN 
modulus, NOUN 
calculated, VERB 
beam, NOUN 

, SPACE 
theory, NOUN 
biased, VERB 
bone, NOUN 
size, NOUN 
geometry, NOUN 
implications, NOUN 
use, NOUN 
pointbending, VERB 
tests, NOUN 
determine, VERB 
bone, NOUN 
tissue, NOUN 
modulus, NOUN 
Bone, NOUN 
2008;43:717, NOUN 
23, NUM 

, SPACE 
42, NUM 
Vashishth, PROPN 
D., PROPN 
Small, ADJ 
animal, NOUN 
bone, NOUN 
biomechanics, NOUN 
Bone, NOUN 
2008;43:794, NOUN 
7.[43, NUM 
Wergedal, ADJ 
JE, PROPN 
Sheng, PROPN 
MH, PROPN 
Ackert, PROPN 
Bicknell, PROPN 
CL, PROPN 
Beamer, PROPN 
WG, PROPN 
Baylink, PROPN 
DJ, PROPN 
Genetic, ADJ 

, SPACE 
variation, NOUN 
femur, ADJ 
extrinsic, ADJ 
strength, NOUN 
29, NUM 
different, ADJ 
inbred, VERB 
strains, NOUN 
mice, NOUN 

, SPACE 
dependent, ADJ 
variations, NOUN 
femur, ADJ 
cross, ADJ 
sectional, ADJ 
geometry, NOUN 
bone, NOUN 
density, NOUN 

, SPACE 
Bone, NOUN 
2005;36:111, NOUN 
22, NUM 

, SPACE 
44, NUM 
Yang, PROPN 
L, PROPN 
Zhang, PROPN 
P, PROPN 
Liu, PROPN 
S, PROPN 
Samala, PROPN 
PR, PROPN 
Su, PROPN 
M, PROPN 
Yokota, PROPN 
H., PROPN 
Measurement, PROPN 
strain, NOUN 

, SPACE 
distributions, NOUN 
mouse, PROPN 
femora, PROPN 
3D, ADJ 
digital, ADJ 
speckle, NOUN 
pattern, NOUN 
interferometry, NOUN 
Opt, PROPN 

, SPACE 
Lasers, PROPN 
Eng, PROPN 
2007;45:843, NOUN 
51, NUM 

, SPACE 
45, NUM 
Zaslansky, PROPN 
P, PROPN 
Currey, PROPN 
JD, PROPN 
Friesem, PROPN 
AA, PROPN 
Weiner, PROPN 
S., PROPN 
Phase, PROPN 
shifting, VERB 
speckle, NOUN 
interfero-, NUM 

, SPACE 
metry, NOUN 
determination, NOUN 
strain, NOUN 
Young, PROPN 
modulus, NOUN 
mineralized, ADJ 
biologicalmaterials, NOUN 
study, NOUN 
tooth, NOUN 
dentin, ADJ 
compression, NOUN 
water, NOUN 
J, PROPN 
Biomed, PROPN 
Opt, PROPN 
2005;10, PROPN 

, SPACE 
024020, NUM 

, SPACE 
46, NUM 
Zaslansky, PROPN 
P, PROPN 
Friesem, PROPN 
AA, PROPN 
Weiner, PROPN 
S., PROPN 
Structure, PROPN 
mechanical, ADJ 
properties, NOUN 
soft, ADJ 

, SPACE 
zone, NOUN 
separating, VERB 
bulk, ADJ 
dentin, NOUN 
enamel, VERB 
crowns, NOUN 
human, ADJ 
teeth, NOUN 
insight, NOUN 
intotooth, NOUN 
function, NOUN 
J, PROPN 
Struct, PROPN 
Biol, PROPN 
2006;153:188, NUM 
99, NUM 

, SPACE 
47, NUM 
Zaslansky, PROPN 
P, PROPN 
Shahar, PROPN 
R, PROPN 
Friesem, PROPN 
AA, PROPN 
Weiner, PROPN 
S., PROPN 
Relations, PROPN 
shape, NOUN 
materials, NOUN 

, SPACE 
properties, NOUN 
function, NOUN 
biological, ADJ 
materials, NOUN 
laser, NOUN 
speckle, NOUN 
interferometry, NOUN 

, SPACE 
situ, NOUN 
tooth, NOUN 
deformation, NOUN 
Adv, PROPN 
Funct, PROPN 
Mat, PROPN 
2006;16:1925, PROPN 
36.90, NUM 
N.L.-T., PROPN 
Chattah, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
